rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/stranger_than_fiction,Eric D. Snider,False,EricDSnider.com,Fresh,B+,2006-11-10,"Never self-consciously wacky or cloyingly sentimental, Stranger Than Fiction is instead a breezy, sweet comedy."
m/rbg,Matt Goldberg,False,Collider,Fresh,B,2018-01-25,The documentary is at its best when it digs into how Ginsburg changed the legal landscape of America.
m/vox_lux,John Powers,False,Vogue,Fresh,,2018-09-10,"Brash, wildly inventive, and occasionally assaultive."
m/spaceballs,Hal Hinson,True,Washington Post,Rotten,,2000-01-01,"The jokes in the films are all pretty much in the same vein -- you might call it borsch-belt postmodern -- and they're all on about the same level, too."
m/st_vincent,Christine N. Ziemba,False,Paste Magazine,Fresh,6.8/10,2014-10-16,"Despite the predictability of St. Vincent's journey, an underlying charm and emotion reach beyond the screen."
m/310_to_yuma,Lou Lumenick,True,New York Post,Fresh,3/4,2007-09-07,An extremely well-acted and well-directed remake of a 1957 oater based on a short story by the then-obscure Elmore Leonard.
m/ugly_truth,Jackie K. Cooper,False,jackiekcooper.com,Rotten,4/10,2009-07-28,They've taken an old done to death plot and tried to make it modern by adding streams of profanity and sex talk; doesn't work.
m/revolutionary_road,Joe Neumaier,True,New York Daily News,Fresh,4/5,2008-12-29,"In pieces and in spirit, the many honest parts of this drama about marital life in the 1950s are like the rooms of a house that feel right, even if the exterior slopes somewhat clumsily."
m/star_trek_into_darkness,Glenn Kenny,True,MSN Movies,Fresh,3.5/5,2013-05-15,"What this movie does with a not-unfamiliar-to-some story is pretty clever, and the incarnation of a classic villain by British cheekbone virtuoso Benedict Cumberbatch is vivid and engaging."
m/stupids,Steve Davis,False,Austin Chronicle,Rotten,0/5,2000-01-01,
m/the_beguiled,Noah Berlatsky,False,Playboy Online,Rotten,,2017-06-29,"Siegel's strange film, with all its vacillations, could be read as a rejection of Gone With the Wind, and of building feminism on the oppression of black people. Coppola's remake, in contrast, quietly puts Scarlett O'Hara back on her pedestal."
m/never_back_down,Rich Cline,False,Shadows on the Wall,Rotten,2.5/5,2008-03-25,"If you think about what this film is saying, the superficiality is overwhelming."
m/caramel,David Nusair,False,Reel Film Reviews,Rotten,1/4,2007-09-18,"...a tedious, virtually interminable effort..."
m/1107809-brother,Bob Graham,True,San Francisco Chronicle,Fresh,3/4,2001-07-27,Kitano presents all this mayhem in crisp and cool camera work that distances it and keeps it from becoming oppressive.
m/the_connection,Glenn Dunks,False,The Film Experience,Rotten,C+,2014-11-17,[T]here's little in the French film to distinguish it from more superfluous genre flicks...
m/antebellum,Sandra Hall,True,Sydney Morning Herald,Rotten,2.5/5,2020-09-30,The style of the direction is so lurid and the performances are so florid that they become ends in themselves and never mind the message no matter how timely it is in the current climate.
m/francofonia,Wendy Ide,False,Observer (UK),Rotten,2/5,2016-11-13,There's an unlovely self-importance to Sokurov's droning diatribe that rather distracts from the cultural significance of the subject.
m/the_dark_knight,Nick Schager,False,Slant Magazine,Fresh,3.5/4,2008-07-17,"The Dark Knight resounds with a throbbing topical undercurrent, its superficially good-versus-evil setup slowly revealed to be a complex examination of the ways in which democracies can, and must, combat zealotry."
m/mollys_game,Tomris Laffly,True,Time Out,Fresh,4/5,2017-12-21,"A sharply judged edit stitches together three separate timelines, shaping Molly as a complex and razor-sharp character in a world dominated by entitled mansplainers. Forget Rounders -- here's a poker movie to go all-in on."
m/your_sisters_sister,Stephen Whitty,True,Newark Star-Ledger,Rotten,2.5/4,2012-06-15,"Shelton is too much in thrall to improvisation, and letting the actors ""find"" their characters."
m/1205377-last_house_on_the_left,Marc Savlov,False,Austin Chronicle,Rotten,1.5/5,2009-03-13,
m/oslo_august_31st,Eric D. Snider,False,EricDSnider.com,Fresh,B+,2012-04-13,"Without any flashiness or grandstanding, Joachim Trier and Anders Danielsen Lie make us sympathize with the character on a deeply personal level."
m/management,Robert Levin,False,Film School Rejects,Rotten,2.5/4,2009-05-17,Management looks and feels exactly as Hollywood appears to have determined such coming of age ventures should.
m/die_hard_with_a_vengeance,Michael Wilmington,True,Chicago Tribune,Rotten,2.5/4,2019-04-02,"This third installment is so loud, fast and full of chases that watching it is like being abandoned on a set of roller coaster tracks. You're definitely not bored, but you're not necessarily pleased."
m/middle_men,Brent Simon,False,Screen International,Rotten,2/5,2010-08-12,"Hampered mightily by Luke Wilson's casting, Middle Men has energy and some sleazy fun around its edges, but critically fails to locate a sincere lasting feeling, be it titillation or trepidation."
m/manda_bala,Brian Orndorf,False,eFilmCritic.com,Fresh,A,2007-08-16,"The picture walks on air describing inexcusable violations of political faith and public safety, brilliantly forming a claustrophobic visual representation of a country struggling to live under the growing cancer of crime."
m/skyscraper_2018,David Crow,False,Den of Geek,Fresh,3/5,2018-07-10,"Even snickers of disbelief count for something. And in a summer swimming in benign blandness, Skyscraper's ability to evoke mirth instead of nerves is its own type of thrill."
m/video_games_the_movie,Jesse Hassenger,True,AV Club,Rotten,C-,2014-07-17,"Beyond associating breakthroughs with particular years and companies, Video Games: The Movie has trouble moving beyond generalities."
m/bridget_joness_baby_2016,Debbie Holloway,False,Narrative Muse,Fresh,,2019-09-11,"It rises above expectations, and brings back the warmth and quirk so memorable in the original novel."
m/star_wars_the_last_jedi,Colby Bryant,False,Colbybryant.com,Fresh,9/10,2018-12-08,"The film examines a questioning of ideals held throughout the ages, a deconstruction of what we know and hold dear."
m/perfect_man,Sue Pierman,False,Milwaukee Journal Sentinel,Rotten,1.5/4,2005-06-17,"Duff's desperate, self-absorbed attempts to make her scheme work include setting off the water sprinklers in a crowded New York restaurant. It's supposed to be charming and amusing, but it feels irritating and dangerous."
m/argo_2012,Robert Levin,False,amNewYork,Fresh,3.5/4,2012-10-27,It's a reminder of what the movies can offer when they're at their best: an escape into another world and a pertinent look at our own.
m/10_cloverfield_lane,Sam Watermeier,False,NUVO Newsweekly,Fresh,4/5,2016-12-30,"Maybe it's not an obvious sequel, but this film certainly has the same spirit as Cloverfield, keeping viewers guessing until the last shot."
m/woman_thou_art_loosed,Terry Lawson,True,Detroit Free Press,Fresh,3/4,2004-10-01,"There's no finger-pointing exclusion or even hellfire here, only the openhearted hope and welcoming love on which the religion was based."
m/katy_perry_part_of_me,Elizabeth Weitzman,True,New York Daily News,Fresh,3/5,2012-07-03,"Perry may be the world's most high-profile tease, but she sure knows how to show us a good time."
m/safety_not_guaranteed,Ann Lewinson,False,Boston Phoenix,Fresh,3/4,2012-06-14,"With its well-constructed screenplay, sharp dialogue and unapologetic sincerity, this first feature from former SNL interns Colin Trevorrow and Derek Connolly is its own act of nostalgia..."
m/inside_out_2015,Eric D. Snider,False,EricDSnider.com,Fresh,B+,2015-06-19,A conceptual near-masterpiece ... except for the big chunk in the middle where it isn't.
m/1144274-sahara,Robert Wilonsky,False,Dallas Observer,Rotten,,2005-04-09,"A stunning piece of work -- stunningly inept, stunningly incoherent, stunningly awful in every single way imaginable."
m/john_wick_chapter_3_parabellum,Dorian Parks,False,Geeks of Color,Fresh,,2019-05-13,John Wick 3 is truly a non stop thrill ride from start to finish.
m/in_the_valley_of_elah,Jeff Bayer,False,The Scorecard Review,Fresh,7/10,2008-03-03,"It's a quality film, but all the truly emotional moments come from watching and listening to the soldiers, which doesn't really happen until the very end."
m/mr_brooks,Todd Gilchrist,False,IGN Movies,Rotten,2.5/5,2007-06-20,"Ultimately, Mr. Brooks is a little bit like one of the murders in an actual serial killer case: an object of passing fascination for most people who see the broad strokes or statistics, but of lasting or more profound impact only to those affected by or d"
m/handmaids_tale,Elizabeth Pincus,False,Sojourner,Rotten,,2019-09-11,"For a movie about an encroaching fascist regime of horrific dimensions, The Handmaid's Tale is an oddly serene piece of work."
m/my_little_pony_the_movie_2017,Kristy Puchko,False,Pajiba,Fresh,,2017-10-06,My Little Pony: The Movie offers a sophisticated message about trauma and self-love.
m/doc_hollywood,David Poland,False,Hot Button,Fresh,4/5,2002-07-26,
m/a_war,Robert Denerstein,False,Movie Habit,Fresh,,2016-12-12,"Deeply troubling and appropriately ambiguous, A War is a fine and sobering movie."
m/1107198-driven,Ron Bishow,False,Katrillion.com,Rotten,,2002-12-18,"The dialogue is so bad in Driven that at one of the dramatic points, the crowd erupted in laughter."
m/demon_2016,Adam Graham,True,Detroit News,Fresh,B,2016-09-23,"""Demon"" is a testament to a still-budding talent, and it would have been fascinating to see where he went next."
m/pacific_rim_2013,Michael Sragow,True,Orange County Register,Rotten,C,2013-07-12,All the unpredictability of professional wrestling + the magic of synchronized Stairmasters -- that's what I got out of the vaunted spectacle of Pacific Rim.
m/the_hallow,Alejandro Murillo,False,Cine Premiere,Fresh,3/4,2015-11-05,I recommend this movie to those looking a cheap scare but also for those who like deep meaning behind those scares. [Full review in Spanish]
m/my_dinner_with_andre,Gerry Shamray,False,Your Movies (cleveland.com),Fresh,3/5,2003-02-07,"It's all talk, most of it interesting."
m/no_escape_2015,Pamela Powell,False,"Daily Journal (Kankakee, IL)",Fresh,3/4,2018-08-21,I had to make an immediate appointment with my hairdresser to cover the 50 new grey hairs that sprung to life in that 2 hour movie!
m/catfish,Fred Topel,False,Screen Junkies,Fresh,,2010-09-17,"I feel bad for the catfish, but I guess I need them to be catfish or there'd be no me to feel bad for them. You'll understand at the end."
m/oscar_and_lucinda,John R. McEwen,False,Film Quips Online,Fresh,4/5,2003-02-08,
m/gone_baby_gone,Philip Martin,False,Arkansas Democrat-Gazette,Fresh,88/100,2007-10-19,"... a terrific, gripping and startlingly effective thriller. The power of the drama and the excellence of the realization obliterate all objections."
m/star_wars_episode_iii_revenge_of_the_sith,Shawn Levy,False,Oregonian,Fresh,,2005-05-18,"The darkest, most operatic, and technologically richest Star Wars movie to date, Sith is grim, stirring entertainment and a nearly complete vindication."
m/1006646-enforcer,Cole Smithey,False,ColeSmithey.com,Fresh,3/5,2007-11-04,
m/1195796-viva,Dennis Harvey,False,SF360,Fresh,,2016-03-30,"You don't need to have seen the movies [Biller is] paying cheeky homage to in order to enjoy Viva. But afterward, you'll probably want to."
m/mission_impossible_ghost_protocol,Charles Koplinski,False,Illinois Times,Fresh,3.5/5,2011-12-28,Ghost pulls off the impossible.
m/best_years_of_our_lives,Jeffrey Westhoff,False,"Northwest Herald (Crystal Lake, IL)",Fresh,4/5,2002-07-26,
m/ghost_rider,Peter Howell,True,Toronto Star,Fresh,2.5/4,2007-02-16,...damned if this one shouldn't make your so-bad-it's-good list...
m/trainwreck,Roger Moore,False,Movie Nation,Fresh,3/4,2015-07-15,"Apatow still lets every single scene run well past its pay-off, but America's R-rated sweetheart brings her A-game, and her supporting cast kills."
m/sound_of_noise,Noel Murray,True,AV Club,Fresh,A-,2012-03-08,"Part quirky comedy, part existential mystery, part flash-mob musical."
m/ring,Mark R. Leeper,False,rec.arts.movies.reviews,Fresh,7/10,2002-11-15,"The fear is not so much of physical danger, but of just the impenetrability of the mystery."
m/naqoyqatsi,V.A. Musetto,True,New York Post,Fresh,3/4,2002-10-18,"Who needs mind-bending drugs when they can see this, the final part of the 'qatsi' trilogy, directed by Godfrey Reggio, with music by Philip Glass?"
m/reefer_madness,Dan Jardine,False,Apollo Guide,Rotten,50/100,2004-08-24,"As the evidence mounts before us, it becomes clear that the general purpose of Reefer Madness was not pedantry, but vicarious lasciviousness."
m/war_inc,Alonso Duralde,False,MSNBC,Rotten,1/5,2008-05-20,Any random five minutes from lefty talk-radio hosts Rachel Maddow's or Randi Rhodes' shows would provide more entertainment and deeper insight into current events.
m/unicorn_store,Peter Debruge,True,Variety,Rotten,,2017-09-13,"There's a serious mismatch between the personality of Samantha McIntyre's script ... and Larson's directing style, which feels entirely incompatible with whimsy."
